size,imps_maxamp
128,14.6447257109485000
128,8.6903692241007500
90,8.2643290343598200
90,8.5976983248964900
64,8.2999475515305600
64,16.5455750953996000
45,5.2289133497846100
45,4.2286977322133300
32,2.2611293432976600
32,2.3160554089164500
16,2.0305306684364900
16,1.0929059917271100
32,2.5324743241457700
32,1.9064346888639000
45,4.4958341316298500
64,8.8241722668217900
64,8.4627489311439200
90,14.5777552146213000
90,12.1761086900636000
45,2.5836757223060300
