Time,const_low,const_high,short_low,short_high,long_low,long_high
0,0.045,0.06,0.035,0.035,0.035,0.035
5,0.045,0.06,0.035,0.035,0.035,0.035
10,0.045,0.06,0.035,0.035,0.035,0.035
15,0.045,0.06,0.035,0.035,0.035,0.035
20,0.045,0.06,0.035,0.035,0.035,0.035
25,0.045,0.06,0.035,0.035,0.035,0.035
30,0.045,0.06,0.035,0.035,0.035,0.0353
35,0.045,0.06,0.035,0.035,0.035,0.03625
40,0.045,0.06,0.035,0.035,0.0354,0.0372
45,0.045,0.06,0.035,0.035,0.0358,0.03815
50,0.045,0.06,0.035,0.035,0.0362,0.0391
55,0.045,0.06,0.035,0.035,0.0366,0.04005
60,0.045,0.06,0.035,0.035,0.037,0.041
65,0.045,0.06,0.035,0.035,0.0374,0.04195
70,0.045,0.06,0.035,0.035,0.0378,0.0429
75,0.045,0.06,0.035,0.035,0.0382,0.04385
80,0.045,0.06,0.035,0.035,0.0386,0.0448
85,0.045,0.06,0.035,0.035,0.039,0.04575
90,0.045,0.06,0.035,0.035,0.0394,0.0467
95,0.045,0.06,0.035,0.035,0.0398,0.04765
100,0.045,0.06,0.035,0.035,0.0402,0.0486
105,0.045,0.06,0.035,0.035,0.0406,0.04955
110,0.045,0.06,0.035,0.035,0.041,0.0505
115,0.045,0.06,0.035,0.035,0.0414,0.05145
120,0.045,0.06,0.035,0.035,0.0418,0.0524
125,0.045,0.06,0.035,0.035,0.0422,0.05335
130,0.045,0.06,0.035,0.035,0.0426,0.0543
135,0.045,0.06,0.035,0.035,0.043,0.05525
140,0.045,0.06,0.035,0.035,0.0434,0.0562
145,0.045,0.06,0.035,0.035,0.0438,0.05715
150,0.045,0.06,0.035,0.035,0.0442,0.0581
155,0.045,0.06,0.035,0.035,0.0446,0.05905
160,0.045,0.06,0.045,0.06,0.045,0.06
165,0.045,0.06,0.045,0.06,0.045,0.06
170,0.045,0.06,0.045,0.06,0.045,0.06
175,0.045,0.06,0.045,0.06,0.045,0.06
180,0.045,0.06,0.045,0.06,0.045,0.06
185,0.045,0.06,0.045,0.06,0.045,0.06
190,0.045,0.06,0.045,0.06,0.045,0.06
195,0.045,0.06,0.045,0.06,0.045,0.06
200,0.045,0.06,0.045,0.06,0.045,0.06
205,0.045,0.06,0.045,0.06,0.045,0.06
210,0.045,0.06,0.045,0.06,0.045,0.06
215,0.045,0.06,0.045,0.06,0.045,0.06
220,0.045,0.06,0.045,0.06,0.045,0.06
225,0.045,0.06,0.045,0.06,0.045,0.06
230,0.045,0.06,0.045,0.06,0.045,0.06
235,0.045,0.06,0.035,0.035,0.0446,0.05905
240,0.045,0.06,0.035,0.035,0.0442,0.0581
245,0.045,0.06,0.035,0.035,0.0438,0.05715
250,0.045,0.06,0.035,0.035,0.0434,0.0562
255,0.045,0.06,0.035,0.035,0.043,0.05525
260,0.045,0.06,0.035,0.035,0.0426,0.0543
265,0.045,0.06,0.035,0.035,0.0422,0.05335
270,0.045,0.06,0.035,0.035,0.0418,0.0524
275,0.045,0.06,0.035,0.035,0.0414,0.05145
280,0.045,0.06,0.035,0.035,0.041,0.0505
285,0.045,0.06,0.035,0.035,0.0406,0.04955
290,0.045,0.06,0.035,0.035,0.0402,0.0486
295,0.045,0.06,0.035,0.035,0.0398,0.04765
300,0.045,0.06,0.035,0.035,0.0394,0.0467
305,0.045,0.06,0.035,0.035,0.039,0.04575
310,0.045,0.06,0.035,0.035,0.0386,0.0448
315,0.045,0.06,0.035,0.035,0.0382,0.04385
320,0.045,0.06,0.035,0.035,0.0378,0.0429
325,0.045,0.06,0.035,0.035,0.0374,0.04195
330,0.045,0.06,0.035,0.035,0.037,0.041
335,0.045,0.06,0.035,0.035,0.0366,0.04005
340,0.045,0.06,0.035,0.035,0.0362,0.0391
345,0.045,0.06,0.035,0.035,0.0358,0.03815
350,0.045,0.06,0.035,0.035,0.0354,0.0372
355,0.045,0.06,0.035,0.035,0.035,0.03625
360,0.045,0.06,0.035,0.035,0.035,0.0353
365,0.045,0.06,0.035,0.035,0.035,0.035
370,0.045,0.06,0.035,0.035,0.035,0.035
375,0.045,0.06,0.035,0.035,0.035,0.035
380,0.045,0.06,0.035,0.035,0.035,0.035
385,0.045,0.06,0.035,0.035,0.035,0.035
390,0.045,0.06,0.035,0.035,0.035,0.035
